,name,energy,smiles,from_EQ,from_EQ_smiles,to_EQ,to_EQ_smiles,H_moved
90,TS36,-154.857362171386,[H]C([H])[H].[H]C=O.[H][H],EQ31,C=O.[H]C([H])([H])[H].[H][H],EQ32,C=O.[H]C([H])([H])[H].[H][H],0.0
91,TS37,-154.858215594903,[H]C[H].[H]OC([H])([H])[H],EQ34,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
92,TS38,-154.863722791703,[H]C([H])[H].[H]OC([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
93,TS39,-154.851782945237,[H]C([H])[H].[H]C=O.[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ35,[H]C([H])[H].[H]C=O.[H][H],0.0
94,TS40,-154.896695670405,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],0.0
95,TS41,-154.86222125033,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
96,TS42,-154.891155565633,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
97,TS43,-154.88766389316,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
98,TS44,-155.019327686047,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
99,TS45,-154.729613759764,C.[HH].[HH].[H]OC([H])([H])[H],EQ38,C.[H]OC([H])([H])[H].[H][H],EQ4,[H]C[H].[H]OC([H])([H])[H],0.0
100,TS47,-154.870066372757,[H]C([H])=O=C([H])[H].[H][H],EQ2,[H]C([H])=O=C([H])[H].[H][H],EQ2,[H]C([H])=O=C([H])[H].[H][H],0.0
101,TS48,-154.874989366529,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],0.0
102,TS49,-154.83997962275,[HH].[H]C([H])=O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ42,[HH].[H]C([H])=O.[H]C([H])[H],0.0
103,TS50,-154.791925747634,[HH].[HH].[H]C([H])OC([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
104,TS51,-154.862232244778,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
105,TS52,-154.853872612369,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],0.0
106,TS53,-154.837155989665,[HH].[H]C([H])O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ37,[H]OC([H])([H])C([H])([H])[H],0.0
107,TS54,-154.855638114151,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],EQ37,[H]OC([H])([H])C([H])([H])[H],0.0
108,TS55,-154.844247850572,[HH].[H]C([H])=O.[H]C([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
109,TS56,-154.856601416275,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
110,TS57,-154.794526318039,[H]C([H])O=C.[H][H].[H][H],EQ22,[H]C([H])O=C.[H][H].[H][H],EQ48,[H]C([H])O=C.[H][H].[H][H],0.0
111,TS58,-154.839466950787,[H]C([H])[H].[H]C=O.[H][H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ19,[H]C(=O)C([H])([H])[H].[H][H],0.0
112,TS59,-154.895114035961,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],0.0
113,TS60,-154.817449154427,[HH].[H]C=O.[H]C[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
114,TS61,-154.841575316145,[H]C([H])=O.[H]C[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
115,TS62,-154.89630719879,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],0.0
116,TS63,-154.819748567725,[H]C([H])[H].[H]C=O.[H][H],EQ19,[H]C(=O)C([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],0.0
117,TS64,-154.821188225923,[HH].[H]C([H])=O.[H]C([H])[H],EQ14,[HH].[H]C([H])OC([H])([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
118,TS65,-154.821755101033,[HH].[H]C([H])=O.[H]C([H])[H],EQ6,[HH].[H]C([H])OC([H])([H])[H],EQ16,[H]C([H])([H])[H].[H]C([H])=O,0.0
119,TS66,-154.840901363558,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ42,[HH].[H]C([H])=O.[H]C([H])[H],0.0
120,TS67,-154.864219382332,[H]C([H])OC([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
121,TS68,-154.895508643842,[H]C([H])[H].[H]OC([H])[H],EQ27,[H]C([H])[H].[H]OC([H])[H],EQ27,[H]C([H])[H].[H]OC([H])[H],0.0
122,TS69,-154.716023303516,[HH].[H]C[H].[H]OC([H])[H],EQ52,[HH].[H]C[H].[H]OC([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],0.0
123,TS70,-154.887076341976,[H]C(=O)C([H])([H])[H].[H][H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ17,[H]C(=O)C([H])([H])[H].[H][H],0.0
124,TS71,-154.866189985986,O.[H]C([H])([H])C([H])([H])[H],EQ53,O.[H]C([H])([H])C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
125,TS72,-154.854170792099,[H]COC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],EQ12,[H]C=OC([H])([H])[H].[H][H],0.0
126,TS73,-154.895968518227,[H]C=OC([H])([H])[H].[H][H],EQ57,[H]C=OC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],0.0
127,TS74,-154.889576304724,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H],0.0
128,TS75,-154.862228945469,[HH].[H]C([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
129,TS76,-154.724071020286,[HH].[H]C=OC([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
130,TS77,-154.789752585882,[HH].[H]C1=C([H])([H])O1.[H][H],EQ61,[HH].[H]C1=C([H])([H])O1.[H][H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H],0.0
131,TS78,-154.850333170183,[H]C([H])O([H])C([H])([H])[H],EQ4,[H]C[H].[H]OC([H])([H])[H],EQ3,[H]C[H].[H]OC([H])([H])[H],0.0
132,TS79,-154.857760876526,[H]C[H].[H]OC([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
133,TS80,-154.825874181422,[HH].[HH].[H]C(=O)C([H])([H])[H],EQ63,[HH].[HH].[H]C(=O)C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
134,TS81,-154.831198389358,[HH].[H]C([H])O.[H]C([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],0.0
135,TS82,-154.869480901711,[HH].[H]C([H])([H])C([H])([H])O,EQ17,[H]C(=O)C([H])([H])[H].[H][H],EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
136,TS83,-154.862334721617,[H]C([H])[H].[H]C=O.[H][H],EQ68,[H]C([H])[H].[H]C=O.[H][H],EQ9,[H]C([H])([H])[H].[H]C([H])=O,0.0
137,TS84,-154.891475045923,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],EQ8,[H]C([H])([H])O.[H]C([H])[H],0.0
138,TS85,-154.863115287685,[H]C[H].[H]OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
139,TS86,-154.83836157974,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
140,TS87,-154.893536094991,[HH].[H]C([H])[H].[H]CO[H],EQ71,[H]C([H])([H])[H].[H]C=O[H],EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
141,TS88,-154.833950319598,[HH].[H]COC([H])[H].[H][H],EQ45,[H]C1([H])=C([H])([H])O1.[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],0.0
142,TS89,-154.713757970657,[H]C=O=C[H].[H][H].[H][H],EQ73,[H]C=O=C[H].[H][H].[H][H],EQ11,[H]C([H])=O=C([H])[H].[H][H],0.0
143,TS90,-154.828500817771,[H]C([H])[H].[H]C[H].[H]O,EQ3,[H]C[H].[H]OC([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
144,TS91,-154.808299337938,O.[H]C([H])[H].[H]C([H])[H],EQ37,[H]OC([H])([H])C([H])([H])[H],EQ0,[H]C([H])([H])OC([H])([H])[H],0.0
145,TS92,-154.862014330185,O.[H]C([H])([H])C([H])([H])[H],EQ75,O.[H]C([H])([H])C([H])([H])[H],EQ75,O.[H]C([H])([H])C([H])([H])[H],0.0
146,TS93,-154.919459112687,[HH].[H]C([H])=C([H])[H].[H]O,EQ76,[H]C([H])=C([H])[H].[H]O[H],EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
147,TS94,-154.831482437718,[HH].[HH].[H]C([H])[H].[H]C=O,EQ79,[HH].[H]C([H])([H])[H].[H]C=O,EQ77,[HH].[H]C([H])=O.[H]C([H])[H],0.0
148,TS95,-155.02852008255,[H]OC([H])([H])C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],EQ26,[H]OC([H])([H])C([H])([H])[H],0.0
149,TS96,-154.838085698152,[HH].[H]C([H])=O.[H]C([H])[H],EQ58,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
150,TS97,-154.840823601445,[HH].[H]C([H])=O.[H]C([H])[H],EQ58,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
151,TS98,-154.855079369429,[H]COC([H])([H])[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ10,[H]C=OC([H])([H])[H].[H][H],0.0
152,TS99,-154.840938225525,[HH].[H]C([H])=O.[H]C([H])[H],EQ7,[H]C([H])([H])[H].[H]C([H])=O,EQ7,[H]C([H])([H])[H].[H]C([H])=O,0.0
153,TS100,-154.81813852669,[HH].[H]C=O.[H]C[H].[H][H],EQ13,[H]C=OC([H])([H])[H].[H][H],EQ44,[H]C([H])=O=C([H])[H].[H][H],0.0
